		"DOTA_Tooltip_ability_example_ability"									"Detonation"
        "DOTA_Tooltip_Ability_yin_yang_orbs_Bounce_Range"    "Bounce Range:"
       
        "DOTA_Tooltip_Ability_fantasy_nature"  "Fantasy Nature"  
        "DOTA_Tooltip_Ability_fantasy_nature_Description"  "Reimu gains immunity to physical damage, and deals physical damage to nearby enemies every second."
        "DOTA_Tooltip_Ability_fantasy_nature_Lore"    "The ultimate expression of her power to float, the Shrine Maiden becomes untouchable by reality."
        "DOTA_Tooltip_Ability_fantasy_nature_Duration"    "Duration:"
        "DOTA_Tooltip_Ability_fantasy_nature_Damage"    "Damage Per Second:"
        "DOTA_Tooltip_Ability_fantasy_nature_Radius"    "Damage Radius:"
        "DOTA_Tooltip_Ability_fantasy_nature_Explosion_Damage_Scepter"    "Scepter Explosion Damage:"
        "DOTA_Tooltip_Ability_fantasy_nature_Explosion_Radius_Scepter"    "Scepter Explosion Radius:"
        "DOTA_Tooltip_Ability_fantasy_nature_Mana_Cost_Scepter"    "Scepter Mana Cost:"
        "DOTA_Tooltip_Ability_fantasy_nature_Cooldown_Scepter"    "Scepter Cooldown:"
        "DOTA_Tooltip_Ability_fantasy_nature_Aghanim_Description"    "Decreases mana cost and cooldown. At the end of the duration, deals a massive amount of physical damage in a larger area."

        "DOTA_Tooltip_Ability_candid_shot"  "Candid Shot"  
		"DOTA_Tooltip_Ability_candid_shot_Description"  "Takes a photo of an area, dealing magical damage and briefly stunning all enemies hit. Most enemy projectiles in the area are removed. The further the shot, the smaller the radius."
		"DOTA_Tooltip_Ability_candid_shot_Note0" "The shot size is a 600 x 400 rectangle at melee range, decreasing to a minimum of 300 x 200 at maximum range."
		"DOTA_Tooltip_Ability_candid_shot_Lore" "A gift from the Kappas, the Tengu Reporter's camera may be old-fashioned, but has some unique properties."
		"DOTA_Tooltip_Ability_candid_shot_Damage"    "DAMAGE:" 
		"DOTA_Tooltip_Ability_candid_shot_Stun_Duration"    "STUN DURATION:"

        "DOTA_Tooltip_Ability_macroburst"  "Tengu's Macroburst"  
        "DOTA_Tooltip_Ability_macroburst_Description"  "Passively increases movement speed. While active, the speed bonus is lost, and Aya fires gusts of winds that deal magical damage at the closest unit whenever she moves a short distance. If there are no enemies nearby, she will fire immediately when they enter range. Does half damage to creeps."
        "DOTA_Tooltip_Ability_macroburst_Note0" "The gusts will target enemies in the fog of war, but not invisible units if there is no true sight available."
        "DOTA_Tooltip_Ability_macroburst_Note1"  "If this ability is deactivated then activated again, Aya must move the full distance again to ready the gust."
        "DOTA_Tooltip_Ability_macroburst_Lore" "The winds that bring news from distant lands can be honed to deliver sensational violence."
        "DOTA_Tooltip_Ability_macroburst_Movespeed"  "MOVE SPEED BONUS:"
        "DOTA_Tooltip_Ability_macroburst_Distance_To_Ready"  "DISTANCE TO READY:"
        "DOTA_Tooltip_Ability_macroburst_Range"  "SEARCH RADIUS:"
       
        "DOTA_Tooltip_Ability_wind_gods_fan"  "Wind God's Fan"  
        "DOTA_Tooltip_Ability_wind_gods_fan_Description"  "Aya moves with increased speed, and her damage increases based on distance moved before attacking, reset on each attack."
        "DOTA_Tooltip_Ability_wind_gods_fan_Note0" "The minimum bonus damage is 10."
        "DOTA_Tooltip_Ability_wind_gods_fan_Lore"  "After leveling his home and the ancient sequoia, the North Wind tore off the traveler's cloak."
        "DOTA_Tooltip_Ability_wind_gods_fan_Maximum_Damage"    "MAXIMUM BONUS ATTACK DAMAGE:"
        "DOTA_Tooltip_Ability_wind_gods_fan_Max_Damage_Distance"    "MAXIMUM DAMAGE DISTANCE:"
        "DOTA_Tooltip_Ability_wind_gods_fan_Movespeed"    "MOVE SPEED BONUS:"

		"DOTA_Tooltip_Ability_opening_wind"  "Opening Wind of the Tengu Realm"
		"DOTA_Tooltip_Ability_opening_wind_Description"  "Aya launches a cyclone that deals magical damage. If it damages an enemy, Aya gains Illusionary Dominance for a short duration."
		"DOTA_Tooltip_Ability_opening_wind_Note0"  "Pierces spell immunity."
		"DOTA_Tooltip_Ability_opening_wind_Lore"  "With a stretch of her wings, Aya is ready to prove that she's the fastest thing alive in Gensokyo."
		"DOTA_Tooltip_Ability_opening_wind_Duration" "ILLUSIONARY DOMINANCE DURATION:"
		"DOTA_Tooltip_Ability_opening_wind_of_the_tengu_realm_cooldown_scepter"  "SCEPTER COOLDOWN:"
		"DOTA_Tooltip_Ability_opening_wind_of_the_tengu_realm_aghanim_description"  "Decreases cooldown. Aya gains Peerless Wind God."

		"DOTA_Tooltip_Ability_illusionary_dominance"  "Illusionary Dominance"
		"DOTA_Tooltip_Ability_illusionary_dominance_Description"  "Aya dashes a fixed distance, attacking all enemies she passes. Whenever she deals physical damage to enemy heroes, the travel speed of this ability increases while the cooldown decreases."
		"DOTA_Tooltip_Ability_illusionary_dominance_Note0"  "The maximum travel speed is 4000." 
		"DOTA_Tooltip_Ability_illusionary_dominance_Note1"  "The minimum cooldown is 0.25 seconds."
		"DOTA_Tooltip_Ability_illusionary_dominance_Lore"  "Unparalleled speed."
		"DOTA_Tooltip_Ability_illusionary_dominance_Cooldown_Reduction"  "COOLDOWN REDUCTION PER PHYSICAL DAMAGE INSTANCE:"
		"DOTA_Tooltip_Ability_illusionary_dominance_Speed_Increase"  "TRAVEL SPEED INCREASE PER PHYSICAL DAMAGE INSTANCE:"
		"DOTA_Tooltip_Ability_illusionary_dominance_Speed"  "BASE TRAVEL SPEED:"
		"DOTA_Tooltip_Ability_illusionary_dominance_Max_Speed"  "MAXIMUM TRAVEL SPEED:"
		"DOTA_Tooltip_Ability_illusionary_dominance_Range"  "RANGE:
       
        "DOTA_Tooltip_Ability_peerless_wind_god"  "Peerless Wind God"
        "DOTA_Tooltip_Ability_peerless_wind_god_Description"  "Can be cast within 1 second of each Illusionary Dominance. Aya dashes back to her original position, attacking all enemies she passes."
        "DOTA_Tooltip_Ability_peerless_wind_god_Note0"  "The travel speed is always identical to that of Illusionary Dominance."
        "DOTA_Tooltip_Ability_peerless_wind_god_Lore"  "Flawless technique."
        "DOTA_Tooltip_Ability_peerless_wind_god_Range"  "RANGE:"

        "DOTA_Tooltip_Ability_master_spark"  "Master Spark"
		"DOTA_Tooltip_Ability_master_spark_Description"  "Channels a laser that deals magical damage and slows movement. Lasts 2 seconds."
		"DOTA_Tooltip_Ability_master_spark_Note0"  "Deals damage and slows movement over 5 intervals, initially then every 0.5 seconds."
		"DOTA_Tooltip_Ability_master_spark_Note1"  "The move speed slow lingers for 0.5 seconds."
		"DOTA_Tooltip_Ability_master_spark_Lore"  "Focus your mind, gently muttering the spell to the Mini-Hakkero. Aim at someone you don't like, and a magicannon of love will be unleashed!"
		"DOTA_Tooltip_Ability_master_spark_Damage"  "Total Damage:"
		"DOTA_Tooltip_Ability_master_spark_Slow"  "Move Speed Slow:"
		"DOTA_Tooltip_Ability_master_spark_Range"  "Range:"

		"DOTA_Tooltip_Ability_Blazing_Star"  "Blazing Star"
		"DOTA_Tooltip_Ability_Blazing_Star_Description"  "Marisa flies at an enemy, casting a Master Spark of the current level behind her. On collision, she deals magical damage, and drags them behind her for the remaining distance. Can be recast once to immediately reverse her direction."
		"DOTA_Tooltip_Ability_Blazing_Star_Lore"  "Even the most ordinary of brooms grow a little extraordinary after an era of adventures with the Ordinary Magician."
		"DOTA_Tooltip_Ability_Blazing_Star_Damage"  "Damage:"
		"DOTA_Tooltip_Ability_blazing_star_Travel_Distance"  "Flight Distance:"

		"DOTA_Tooltip_Ability_orrerys_sun"  "Orrery's Sun"
		"DOTA_Tooltip_Ability_orrerys_sun_Description"  "Magical bits spin around Marisa, each with 10 percent of Marisa’s damage. Whenever she attacks, the bits attack the same target, and on casting another ability they will fire minor lasers at random nearby enemies, dealing magical damage to all units hit."
		"DOTA_Tooltip_Ability_orrerys_sun_Note0"  "The lasers do not target enemies in the fog of war and invisible units if there is no true sight available."
		"DOTA_Tooltip_Ability_orrerys_sun_Note1"  "The lasers will target spell immune units, but deals no damage to them."
		"DOTA_Tooltip_Ability_orrerys_sun_Lore"  "It is said that imitation is the highest form of praise among magicians. Those who lack talent must be more brazen in expressing their admiration."
		"DOTA_Tooltip_Ability_orrerys_sun_Orbs"  "Number Of Bits:"
		"DOTA_Tooltip_Ability_orrerys_sun_Laser_Damage"  "Laser Damage:"
		"DOTA_Tooltip_Ability_orrerys_sun_Search_Radius"  "Search Radius:"
		
		"DOTA_Tooltip_Ability_final_spark"  "Final Spark"
		"DOTA_Tooltip_Ability_final_spark_Description"  "Fires a gigantic laser that deals pure damage over 1 second and stuns."
		"DOTA_Tooltip_Ability_final_spark_Note0"  "Deals damage and stuns over 3 intervals, initially then every 0.5 seconds."
		"DOTA_Tooltip_Ability_final_spark_Note1"  "The stun lingers for 1 second."
		"DOTA_Tooltip_Ability_final_spark_Note2"  "Marisa will continue to fire the laser through all disables."
		"DOTA_Tooltip_Ability_final_spark_Lore"  "Marisa's persistence manifests in a blinding ray of light that tears down mountains and arcs through the stars."
		"DOTA_Tooltip_Ability_final_spark_Cast_Point"  "Cast Point:"
		"DOTA_Tooltip_Ability_final_spark_Damage"  "Total Damage:"
		"DOTA_Tooltip_Ability_final_spark_Aghanim_Description"  "Adds the Double Spark ability. Each time an enemy is damaged by Master or Double Spark, they receive a stacking debuff for 8 seconds that increases the damage taken from Final Spark by 6%, up to 100%."

		"DOTA_Tooltip_Ability_Double_Spark"  "Double Spark"
		"DOTA_Tooltip_Ability_Double_Spark_Description"  "Channels a laser that deals magical damage and slows movement. Lasts 2 seconds. Can be cast while channeling Master Spark, and vice versa."
		"DOTA_Tooltip_Ability_Double_Spark_Note0"  "Deals damage and slows movement over 5 intervals, initially then every 0.5 seconds."
		"DOTA_Tooltip_Ability_Double_Spark_Note1"  "The move speed slow lingers for 0.5 seconds."
		"DOTA_Tooltip_Ability_Double_Spark_Lore"  "There is always room for a magician to improve, such as the number of catastrophic lasers she can handle at once."
		"DOTA_Tooltip_Ability_Double_Spark_Total_Damage"  "Total Damage:"
		"DOTA_Tooltip_Ability_Double_Spark_Move_Speed_Slow"  "Move Speed Slow:"
		"DOTA_Tooltip_Ability_Double_Spark_Range"  "Range:"

		"DOTA_Tooltip_Ability_Little_Legion"  "Little Legion"
        "DOTA_Tooltip_Ability_Little_Legion_Description"  "Sends a doll to a unit’s side. Enemies are struck by a Hourai Doll that deals physical damage then continues to attack them. A Shanghai Doll will give allies bonus armor and deal magical damage to attackers. Can be cast on structures."
        "DOTA_Tooltip_Ability_Little_Legion_Note0"  "Dolls will chase their targets regardless of distance or fog of war."
        "DOTA_Tooltip_Ability_Little_Legion_Note1"  "When a Hourai Doll's target turns invisible, they die. Shanghai Dolls will continue to follow them."
        "DOTA_Tooltip_Ability_Little_Legion_Lore"  "Crafted by hand through day and night, the dolls repay their master's love with absolute loyalty."
        "DOTA_Tooltip_Ability_little_legion_Hourai_Damage"  "Hourai Damage:"
		"DOTA_Tooltip_Ability_little_legion_Shanghai_Damage"  "Shanghai Damage:"
		"DOTA_Tooltip_Ability_Little_Legion_Armor_Bonus"  "Shanghai Armor Bonus:"
		"DOTA_Tooltip_Ability_Little_Legion_Doll_Duration"  "Duration:"

		"DOTA_Tooltip_Ability_Trip_Wire"  "Trip Wire"
        "DOTA_Tooltip_Ability_Trip_Wire_Description"  "Links Alice and a unit, structure, or tree with an invisible wire. Can be recast within 3 seconds on another target to link them together instead. When touched by an enemy, the wire deals magical damage and roots nearby enemies. Little Legion can be cast on a wire to hide Hourai Dolls, which strike the enemy that triggers it. Wires are destroyed when they become too taut, or by a single hero attack."
        "DOTA_Tooltip_Ability_Trip_Wire_Note0"  "An enemy directly targeted by Trip Wire can never trigger it, but are still damaged and rooted if another enemy does."
        "DOTA_Tooltip_Ability_Trip_Wire_Note1"  "Creeps and towers will ignore wires."
        "DOTA_Tooltip_Ability_Trip_Wire_Lore"  "The Puppeteer's dexterous hands manipulate enchanted string that hew flesh from the clumsy and bring the inanimate to life."
		"DOTA_Tooltip_Ability_Trip_Wire_Damage"  "Damage:"
		"DOTA_Tooltip_Ability_Trip_Wire_Root_Duration"  "Root Duration:"
		"DOTA_Tooltip_Ability_Trip_Wire_Max_Dolls"  "Max Hidden Dolls:"
		"DOTA_Tooltip_Ability_Trip_Wire_Max_Length"  "Max Wire Length:"

		"DOTA_Tooltip_Ability_Dolls_War"  "Doll’s War"
		"DOTA_Tooltip_Ability_Dolls_War_Description"  "Dolls explode when they fall or their target is slain, dealing magical damage equal to 25% of their max health. On activation, all Hourai Dolls perform a spinning attack that deals physical damage and slows movement, and Shanghai Dolls fire a laser that deals magical damage in the direction their target is facing."
		"DOTA_Tooltip_Ability_Dolls_War_Lore"  "Although Alice's creations lack true autonomy, they are prepared to sacrifice themselves for the greater good."
		"DOTA_Tooltip_Ability_Dolls_War_Explosion_Radius"  "Explosion Radius:"
		"DOTA_Tooltip_Ability_Dolls_War_Spin_Damage"  "Spin Damage:"
		"DOTA_Tooltip_Ability_Dolls_War_Spin_Slow"  "Move Speed Slow:"
		"DOTA_Tooltip_Ability_Dolls_War_Spin_Slow_Duration"  "Slow Duration:"
		"DOTA_Tooltip_Ability_Dolls_War_Spin_Radius"  "Spin Radius:"
		"DOTA_Tooltip_Ability_Dolls_War_Laser_Damage"  "Laser Damage:"
		"DOTA_Tooltip_Ability_Dolls_War_Laser_Range"  "Laser Range:"

		"DOTA_Tooltip_Ability_Goliath_Doll"  "Goliath Doll"
		"DOTA_Tooltip_Ability_Goliath_Doll_Description"  "Summons a giant doll with a cleaving attack that has a chance to bash all enemies hit. Trip Wire will regenerate its health, and Doll’s War increases its attack and movement speed for 4 seconds."
		"DOTA_Tooltip_Ability_Goliath_Doll_Lore"  "Sometimes you just need a bigger doll."
		"DOTA_Tooltip_Ability_Goliath_Doll_Health"  "Goliath Health:"
		"DOTA_Tooltip_Ability_Goliath_Doll_Armor"  "Goliath Armor:"
		"DOTA_Tooltip_Ability_Goliath_Doll_Trip_Wire_Health_Regen"  "Trip Wire Health Regen:"
		"DOTA_Tooltip_Ability_Goliath_Doll_Dolls_War_Attackspeed"  "Doll's War Attack Speed Bonus:"
		"DOTA_Tooltip_Ability_Goliath_Doll_Dolls_War_Movespeed"  "Doll's War Move Speed Bonus:"
		"DOTA_Tooltip_Ability_Goliath_Doll_Health_Scepter"  "Scepter Goliath Health:"
		"DOTA_Tooltip_Ability_Goliath_Doll_Armor_Scepter"  "Scepter Goliath Armor:"
		"DOTA_Tooltip_Ability_Goliath_Doll_Aghanim_Description"  "Increases the health and armor of Goliath Doll and gives it spell immunity."

		"DOTA_Tooltip_Ability_Poison_Breath"  "Poison Breath"
 		"DOTA_Tooltip_Ability_Poison_Breath_Description"  "Medicine breathes poison gas in the direction she is facing, dealing magical damage. The resulting gas cloud will deal magical damage over time and slow movement while drifting forwards."
		"DOTA_Tooltip_Ability_Poison_Breath_Note0"  "The slow lingers for 0.5 seconds."
		"DOTA_Tooltip_Ability_Poison_Breath_Lore"  "Born surrounded by lilies-of-the-valley, their poisonous scent permeates the very character of the living doll."
		"DOTA_Tooltip_Ability_Poison_Breath_Initial_Damage"  "Initial Damage:"
		"DOTA_Tooltip_Ability_Poison_Breath_Damage_Per_Second"  "Damage Per Second:"
		"DOTA_Tooltip_Ability_Poison_Breath_Slow"  "Move Speed Slow:"
		"DOTA_Tooltip_Ability_Poison_Breath_Duration"  "Duration:"
		"DOTA_Tooltip_Ability_Poison_Breath_Radius"  "Radius:"

		"DOTA_Tooltip_Ability_Gassing_Garden"  "Gassing Garden"
		"DOTA_Tooltip_Ability_Gassing_Garden_Description"  "Medicine blights an area. Each time an enemy enters it, they take magical damage, increasing by a percentage equal to their movement speed."
		"DOTA_Tooltip_Ability_Gassing_Garden_Lore"  "Like the children abandoned on the Nameless Hill, those who pursue Medicine lose their footing - then their breath."
		"DOTA_Tooltip_Ability_Gassing_Garden_Base_Damage"  "Base Damage:"
		"DOTA_Tooltip_Ability_Gassing_Garden_Duration"  "Duration:"
		"DOTA_Tooltip_Ability_Gassing_Garden_Radius"  "Radius:"
		
		"DOTA_Tooltip_Ability_Melancholy_Poison"  "Melancholy Poison"
		"DOTA_Tooltip_Ability_Melancholy_Poison_Description"  "Medicine gathers 2 Venom per second, at a doubled rate in the areas of her other abilities. Venom gives bonus health regeneration and magic resistance. When Medicine takes magical damage, she releases all her Venom over time after a 1 second delay. Enemies caught in the shower take magical damage and are stunned."
		"DOTA_Tooltip_Ability_Melancholy_Poison_Note0"  "The stun lingers for 0.2 seconds."
		"DOTA_Tooltip_Ability_Melancholy_Poison_Lore"  "The power to absorb all toxins combined with lack of experience in controlling their release leads to disaster for all that live."
		"DOTA_Tooltip_Ability_Melancholy_Poison_Max_Venom"  "Max Venom:"
		"DOTA_Tooltip_Ability_Melancholy_Poison_Health_Regen"  "Health Regen Bonus Per Venom:"
		"DOTA_Tooltip_Ability_Melancholy_Poison_Magic_Resist"  "Magic Resist Bonus Per Venom:"
		"DOTA_Tooltip_Ability_Melancholy_Poison_Venom_Released_Per_Second"  "Venom Released Per Second:"
		"DOTA_Tooltip_Ability_Melancholy_Poison_Damage_Per_Second"  "Damage Per Second:"
		"DOTA_Tooltip_Ability_Melancholy_Poison_Radius"  "Radius:"

		"DOTA_Tooltip_Ability_Into_Delirium"  "Into Delirium"
		"DOTA_Tooltip_Ability_Into_Delirium_Description"  "Injects an enemy with neurotoxins. Affected units have their movement increasingly slowed and are knocked unconscious at 100% slow. While they are asleep, the toxin spreads to a nearby enemy, and if they awaken within the duration the process repeats. Creeps are put to sleep instantly. Medicine’s abilities do not awaken sleeping units."
		"DOTA_Tooltip_Ability_Into_Delirium_Note0"  "After the neurotoxin expires on a unit, they become immune to it for 25 seconds."
		"DOTA_Tooltip_Ability_Into_Delirium_Lore"  "Not all of Medicine's poisons are lethal - though they may leave victims begging for swift death."
		"DOTA_Tooltip_Ability_Into_Delirium_Duration"  "Duration:"
		"DOTA_Tooltip_Ability_Into_Delirium_Slow_Per_Second"  "Move Speed Slow Per Second:"
		"DOTA_Tooltip_Ability_Into_Delirium_Spread_Range"  "Search Radius:"
		"DOTA_Tooltip_Ability_Into_Delirium_Cast_Range_Scepter"  "Scepter Cast Range:"
		"DOTA_Tooltip_Ability_Into_Delirium_Search_Radius_Scepter"  "Scepter Search Radius:"
		"DOTA_Tooltip_Ability_Into_Delirium_Aghanim_Description"  "Increases cast range and search radius, and the toxin spreads to all enemies within the radius at once."

		"DOTA_Tooltip_Ability_Foundering_Anchor"  "Foundering Anchor"
		"DOTA_Tooltip_Ability_Foundering_Anchor_Description"  "Consumes a charge to throw an anchor that deals physical damage and roots. All enemies in its path take physical damage and are pushed to its destination. Anchors reduce the armor and magic resistance of nearby enemies and remain for 20 seconds."
		"DOTA_Tooltip_Ability_Foundering_Anchor_Note0"  "The anchor debuffs stack, and are active while they travel."
		"DOTA_Tooltip_Ability_Foundering_Anchor_Lore"  "After deep-sixing a boat along with its crew, Murasa seizes their anchors as booty."
		"DOTA_Tooltip_Ability_Foundering_Anchor_Destination_Damage"  "Impact Damage:"
		"DOTA_Tooltip_Ability_Foundering_Anchor_Destination_Radius"  "Impact Radius:"
		"DOTA_Tooltip_Ability_Foundering_Anchor_Drag_Damage"  "Push Damage:"
		"DOTA_Tooltip_Ability_Foundering_Anchor_Root_Duration"  "Root Duration:"
		"DOTA_Tooltip_Ability_Foundering_Anchor_Resists_Reduction"  "Armor & Magic Resist Reduction:"
		"DOTA_Tooltip_Ability_Foundering_Anchor_Resists_Reduction_Radius"  "Reduction Radius:"
		"DOTA_Tooltip_Ability_Foundering_Anchor_Max_Charges"  "Max Charges:"
		"DOTA_Tooltip_Ability_Foundering_Anchor_Charge_Restore_Time"  "Charge Restore Time:"
		
		"DOTA_Tooltip_Ability_Dipper_Creeping_Close"  "Dipper Creeping Close"
		"DOTA_Tooltip_Ability_Dipper_Creeping_Close_Description"  "Murasa teleports, arriving in ghost form for 3 seconds. While in ghost form, Murasa moves through units, is immune to physical damage but can’t attack, and takes 25% increased magical damage. All anchors become ethereal as well, dealing magical damage instead plus magical damage each second around them, and they become unable to push or pull enemies."
		"DOTA_Tooltip_Ability_Dipper_Creeping_Close_Lore"  "It is the nature of the drowned dead to drag the living to join them in the depths."
		"DOTA_Tooltip_Ability_Dipper_Creeping_Close_Ghost_Form_Damage"  "Anchor Damage Per Second:"
		"DOTA_Tooltip_Ability_Dipper_Creeping_Close_Ghost_Damage_Radius"  "Radius:"
		
		"DOTA_Tooltip_Ability_Sinker_Ghost"  "Sinker Ghost"
		"DOTA_Tooltip_Ability_Sinker_Ghost_Description"  "Physical damage from Murasa drowns enemies, slowing their attack speed while increasing it for attackers. Magical damage drenches them, increasing all their mana costs by a percentage."
		"DOTA_Tooltip_Ability_Sinker_Ghost_Lore"  "Whether landlubber or sea dog, few expect the brine that fills their lungs on dry land."
		"DOTA_Tooltip_Ability_Sinker_Ghost_Attack_Speed_Buff"  "Attack Speed Change:"
		"DOTA_Tooltip_Ability_Sinker_Ghost_Mana_Cost_Increase"  "Mana Cost Increase:"
		"DOTA_Tooltip_Ability_Sinker_Ghost_Duration"  "Duration:"

		"DOTA_Tooltip_Ability_Dragging_Anchor"  "Dragging Anchor"
		"DOTA_Tooltip_Ability_Dragging_Anchor_Description"  "Reels in anchors in the area back to Murasa's current location, dealing physical damage to enemies in their paths and pulling them to her."
		"DOTA_Tooltip_Ability_Dragging_Anchor_Lore"  "Anchors aweigh!"
		"DOTA_Tooltip_Ability_Dragging_Anchor_Pull_Damage"  "Pull Damage:"
		"DOTA_Tooltip_Ability_Dragging_Anchor_Radius"  "Cast Radius:"

		"DOTA_Tooltip_Ability_Deep_Vortex"  "Deep Vortex"
		"DOTA_Tooltip_Ability_Deep_Vortex_Description"  "Creates a maelstrom around Murasa that slows movement while dealing magical and physical damage. The magical damage decreases while the physical damage increases over time. Enemies are stunned the first time they enter the center."
